"Name","Stack","Comment","Type","Class","File"
"On_Paint:","--","","METHOD","Window","Window.htm#30"
"WindowHasMenu:","-- flag","","METHOD","Window","Window.htm#31"
"MoveCursor:","gx gy --","","METHOD","Window","Window.htm#32"
"MakeCursor:","gx gy width height --","","METHOD","Window","Window.htm#33"
"DestroyCursor:","--","","METHOD","Window","Window.htm#34"
"ShowCursor:","--","","METHOD","Window","Window.htm#35"
"HideCursor:","--","","METHOD","Window","Window.htm#36"
"On_SetFocus:","h m w l --","","METHOD","Window","Window.htm#37"
"On_KillFocus:","h m w l --","","METHOD","Window","Window.htm#38"
"PushKey:","c1 --","","METHOD","Window","Window.htm#39"
"DefWindowProc:","h m w l -- res","","METHOD","Window","Window.htm#40"
"CenterWindow:","-- x y","","METHOD","Window","Window.htm#41"
"Enable:","f1 --","","METHOD","Window","Window.htm#42"
"SetTitle:","adr len \ temp$ --","","METHOD","Window","Window.htm#43"
"find-window","z""a1 -- hWnd","w32f","COLON","","Window.htm#45"
"send-window","lParam wParam Message_ID hWnd --","w32f","COLON","","Window.htm#46"
"LoadIconFile","adr len -- hIcon","w32f","COLON","","Window.htm#47"
"TrayWindow","","","CLASS","","TrayWindow.htm#0"
"GetTooltip:","-- addr len","","METHOD","TrayWindow","TrayWindow.htm#1"
"AddIcon:","--","","METHOD","TrayWindow","TrayWindow.htm#2"
"DeleteIcon:","--","","METHOD","TrayWindow","TrayWindow.htm#3"
"ShowWindow:","--","","METHOD","TrayWindow","TrayWindow.htm#4"
"HideWindow:","--","","METHOD","TrayWindow","TrayWindow.htm#5"
"WM_SIZE","hWnd uMsg wParam lParam -- res","","METHOD","TrayWindow","TrayWindow.htm#6"
"WM_SYSCOMMAND","hWnd uMsg wParam lParam -- res","","METHOD","TrayWindow","TrayWindow.htm#7"
"On_IconNotify:","hWnd uMsg wParam lParam -- res","","METHOD","TrayWindow","TrayWindow.htm#8"
"timer-window","","","CLASS","","TimerWindow.htm#0"
"ClassInit:","--","","METHOD","timer-window","TimerWindow.htm#1"
"KillTimer:","--","","METHOD","timer-window","TimerWindow.htm#2"
"CreateTimer:","ms --","","METHOD","timer-window","TimerWindow.htm#3"
"On_Done:","--","","METHOD","timer-window","TimerWindow.htm#4"
"On_Timer:","--","","METHOD","timer-window","TimerWindow.htm#5"
"Child-Window","","","CLASS","","Childwnd.htm#0"
"ClassInit:","--","","METHOD","Child-Window","Childwnd.htm#1"
"SetParent:","parent --","","METHOD","Child-Window","Childwnd.htm#2"
"GetParent:","-- parent","","METHOD","Child-Window","Childwnd.htm#3"
"SetID:","n --","","METHOD","Child-Window","Childwnd.htm#4"
"GetID:","-- n","","METHOD","Child-Window","Childwnd.htm#5"
"WindowStyle:","-- style","","METHOD","Child-Window","Childwnd.htm#6"
"WindowTitle:","-- Zstring","","METHOD","Child-Window","Childwnd.htm#7"
"Start:","Parent --","","METHOD","Child-Window","Childwnd.htm#8"
"AutoSize:","--","","METHOD","Child-Window","Childwnd.htm#9"
"dialogID?","hdr ID -- f","","COLON","","Dialog.htm#0"
"find-dialog-ID","id addr -- address-of-template-header","","COLON","","Dialog.htm#1"
"load-dialog","-<filename-without-an-extension>-","","COLON","","Dialog.htm#2"
"Dialog","","","CLASS","","Dialog.htm#3"
"Start:","parent -- flag","","METHOD","Dialog","Dialog.htm#4"
"EndDialog:","return-value --","","METHOD","Dialog","Dialog.htm#5"
"On_Init:","hwndfocus -- f","","METHOD","Dialog","Dialog.htm#6"
"On_Command:","hCtrl code ID -- f","","METHOD","Dialog","Dialog.htm#7"
"ModelessDialog","","","CLASS","","Dialog.htm#9"
"WindowStyle:","-- n1","","METHOD","ModelessDialog","Dialog.htm#10"
"ExWindowStyle:","-- n1","","METHOD","ModelessDialog","Dialog.htm#11"
"Origin:","-- x y","","METHOD","ModelessDialog","Dialog.htm#12"
"Start:","parent --","","METHOD","ModelessDialog","Dialog.htm#13"
"EndDialog:","n1 --","","METHOD","ModelessDialog","Dialog.htm#14"
"Control","","","|CLASS","","Control.htm#0"
"GetParent:","-- parent","","METHOD","Control","Control.htm#1"
"GetHandleOfParent:","-- handleofparent","","METHOD","Control","Control.htm#2"
"SetID:","id --","","METHOD","Control","Control.htm#3"
"GetID:","-- id","","METHOD","Control","Control.htm#4"
"ExWindowStyle:","-- exstyle","","METHOD","Control","Control.htm#5"
"WindowStyle:","-- style","","METHOD","Control","Control.htm#6"
"AddStyle:","n --","","METHOD","Control","Control.htm#7"
"StartSize:","-- width height","","METHOD","Control","Control.htm#8"
"StartPos:","-- left top","","METHOD","Control","Control.htm#9"
"AutoSize:","--","","METHOD","Control","Control.htm#10"
"CreateStruct:","-- CreateStrucPointer","","METHOD","Control","Control.htm#11"
"Enable:","f --","","METHOD","Control","Control.htm#12"
"Disable:","--","","METHOD","Control","Control.htm#13"
"EditControl","","","CLASS","","Controls.htm#0"
"ClassInit:","--","","METHOD","EditControl","Controls.htm#1"
"StartSize:","-- width height","","METHOD","EditControl","Controls.htm#2"
"WindowStyle:","-- Style","","METHOD","EditControl","Controls.htm#3"
"Start:","Parent --","","METHOD","EditControl","Controls.htm#4"
"SetWmChar:","pWmChar --","","METHOD","EditControl","Controls.htm#5"
"SetWmKeyDown:","pWmKeyDown --","","METHOD","EditControl","Controls.htm#6"
"SetWmKillFocus:","pWmKillFocus --","","METHOD","EditControl","Controls.htm#7"
"SubClass:","hWnd Parent --","","METHOD","EditControl","Controls.htm#8"
"ComboControl","","","CLASS","","Controls.htm#10"
"StartSize:","-- width height","","METHOD","ComboControl","Controls.htm#11"
"WindowStyle:","-- Style","","METHOD","ComboControl","Controls.htm#12"
"SetWmChar:","pWmChar --","","METHOD","ComboControl","Controls.htm#13"
"SetWmKeyDown:","pWmKeyDown --","","METHOD","ComboControl","Controls.htm#14"
"SetWmKillFocus:","pWmKillFocus --","","METHOD","ComboControl","Controls.htm#15"
"InsertString:","adr len --","","METHOD","ComboControl","Controls.htm#16"
"GetString:","adr index --","","METHOD","ComboControl","Controls.htm#17"
"GetCount:","-- n1","","METHOD","ComboControl","Controls.htm#18"
"Start:","Parent --","","METHOD","ComboControl","Controls.htm#19"
"ComboListControl","","","CLASS","","Controls.htm#21"
"WindowStyle:","-- Style","","METHOD","ComboListControl","Controls.htm#22"
"ListControl","","","CLASS","","Controls.htm#24"
"WindowStyle:","-- Style","","METHOD","ListControl","Controls.htm#25"
"Start:","Parent --","","METHOD","ListControl","Controls.htm#26"
"GroupControl","","","CLASS","","Controls.htm#28"
"WindowStyle:","-- Style","","METHOD","GroupControl","Controls.htm#29"
"Start:","Parent --","","METHOD","GroupControl","Controls.htm#30"
"StaticControl","","","CLASS","","Controls.htm#32"
"Start:","Parent --","","METHOD","StaticControl","Controls.htm#33"
"CheckControl","","","CLASS","","Controls.htm#35"
"WindowStyle:","-- style","","METHOD","CheckControl","Controls.htm#36"
"Start:","Parent --","","METHOD","CheckControl","Controls.htm#37"
"RadioControl","","","CLASS","","Controls.htm#39"
"WindowStyle:","-- style","","METHOD","RadioControl","Controls.htm#40"
"Start:","Parent --","","METHOD","RadioControl","Controls.htm#41"
"ButtonControl","","","CLASS","","Controls.htm#43"
"ClassInit:","--","","METHOD","ButtonControl","Controls.htm#44"
"SetFunc:","cfa --","","METHOD","ButtonControl","Controls.htm#45"
"WindowStyle:","-- style","","METHOD","ButtonControl","Controls.htm#46"
"Start:","Parent --","","METHOD","ButtonControl","Controls.htm#47"
"DialogWindow","","","CLASS","","Controls.htm#49"
"ClassInit:","--","","METHOD","DialogWindow","Controls.htm#50"
"Statusbar","","","CLASS","","Controls.htm#0"
"Start:","Parent --","","METHOD","Statusbar","Controls.htm#1"
"RaisedBorder:","--","","METHOD","Statusbar","Controls.htm#2"
"NoBorder:","--","","METHOD","Statusbar","Controls.htm#3"
"SunkenBorder:","--","","METHOD","Statusbar","Controls.htm#4"
"ClassInit:","--","","METHOD","Statusbar","Controls.htm#5"
"MinHeight:","#pixels --","","METHOD","Statusbar","Controls.htm#6"
"GetBorders:","-- hWidth vWidth divWidth","","METHOD","Statusbar","Controls.htm#7"
"Redraw:","--","","METHOD","Statusbar","Controls.htm#8"
"SetText:","szText --","","METHOD","Statusbar","Controls.htm#9"
"Clear:","--","","METHOD","Statusbar","Controls.htm#10"
"Setfont:","handle --","","METHOD","Statusbar","Controls.htm#11"
"MultiStatusbar","","","CLASS","","Controls.htm#13"
"Start:","Parent --","","METHOD","MultiStatusbar","Controls.htm#14"
"SetParts:","aWidths nParts --","","METHOD","MultiStatusbar","Controls.htm#15"
"GetParts:","-- aWidths nParts","","METHOD","MultiStatusbar","Controls.htm#16"
"SetSimple:","--","","METHOD","MultiStatusbar","Controls.htm#17"
"SetMulti:","--","","METHOD","MultiStatusbar","Controls.htm#18"
"SetText:","szText n --","","METHOD","MultiStatusbar","Controls.htm#19"
"TextBox","","","CLASS","","Controls.htm#0"
"ClassInit:","--","","METHOD","TextBox","Controls.htm#1"
"SetWmSetFocus:","xt --","","METHOD","TextBox","Controls.htm#2"
"WindowStyle:","-- style","","METHOD","TextBox","Controls.htm#3"
"ReadOnly:","f --","","METHOD","TextBox","Controls.htm#4"
"SetSelection:","nEnd nStart --","","METHOD","TextBox","Controls.htm#5"
"GetSelection:","-- nEnd nStart","","METHOD","TextBox","Controls.htm#6"
"SelectAll:","--","","METHOD","TextBox","Controls.htm#7"
"RemoveSelection:","--","","METHOD","TextBox","Controls.htm#8"
"GetCursor:","-- n","","METHOD","TextBox","Controls.htm#9"
"IsModified?:","-- f","","METHOD","TextBox","Controls.htm#10"
"SetModify:","f --","","METHOD","TextBox","Controls.htm#11"
"NotModified:","--","","METHOD","TextBox","Controls.htm#12"
"Undo?:","-- f","","METHOD","TextBox","Controls.htm#13"
"Undo:","--","","METHOD","TextBox","Controls.htm#14"
"Redo?:","-- f","","METHOD","TextBox","Controls.htm#15"
"Redo:","--","","METHOD","TextBox","Controls.htm#16"
"Cut:","--","","METHOD","TextBox","Controls.htm#17"
"Copy:","--","","METHOD","TextBox","Controls.htm#18"
"Paste:","--","","METHOD","TextBox","Controls.htm#19"
"Clear:","--","","METHOD","TextBox","Controls.htm#20"
"SetFont:","handle --","","METHOD","TextBox","Controls.htm#21"
"SetTextLimit:","n --","","METHOD","TextBox","Controls.htm#22"
"GetTextEx:","buffer$ maxlen -- buffer$ len","","METHOD","TextBox","Controls.htm#23"
"SetTextZ:","addrz --","","METHOD","TextBox","Controls.htm#24"
"PassWordBox","","","CLASS","","Controls.htm#26"
"WindowStyle:","-- style","","METHOD","PassWordBox","Controls.htm#27"
"MultiLineTextBox","","","CLASS","","Controls.htm#29"
"WindowStyle:","-- style","","METHOD","MultiLineTextBox","Controls.htm#30"
"SetTabStops:","tabarray #tabs --","","METHOD","MultiLineTextBox","Controls.htm#31"
"DefaultTabs:","--","","METHOD","MultiLineTextBox","Controls.htm#32"
"SetMargins:","left right --","","METHOD","MultiLineTextBox","Controls.htm#33"
"SelectAll:","--","","METHOD","MultiLineTextBox","Controls.htm#34"
"GetLine:","-- n","","METHOD","MultiLineTextBox","Controls.htm#35"
"Wrap:","--","","METHOD","MultiLineTextBox","Controls.htm#36"
"Unwrap:","--","","METHOD","MultiLineTextBox","Controls.htm#37"
"GetLineCount:","-- n","","METHOD","MultiLineTextBox","Controls.htm#38"
"GetSelText:","addr -- n","","METHOD","MultiLineTextBox","Controls.htm#39"
"LineScroll:","n --","","METHOD","MultiLineTextBox","Controls.htm#40"
"RichEditControl","","","CLASS","","Controls.htm#42"
"Start:","Parent --","","METHOD","RichEditControl","Controls.htm#43"
"GetSelText:","addr -- n","","METHOD","RichEditControl","Controls.htm#44"
"GetLines:","-- nr","","METHOD","RichEditControl","Controls.htm#45"
"ComboBox","","","CLASS","","Controls.htm#0"
"SetDir:","dirz$ attrib --","","METHOD","ComboBox","Controls.htm#1"
"AddStringTo:","z""string"" --","","METHOD","ComboBox","Controls.htm#2"
"SetSelection:","n --","","METHOD","ComboBox","Controls.htm#3"
"GetSelection:","-- n","","METHOD","ComboBox","Controls.htm#4"
"GetString:","index -- addr n","","METHOD","ComboBox","Controls.htm#5"
"GetSelectedString:","-- addr cnt","","METHOD","ComboBox","Controls.htm#6"
"Setfont:","handle --","","METHOD","ComboBox","Controls.htm#7"
"InsertStringAt:","lpszString posn --","","METHOD","ComboBox","Controls.htm#8"
"DeleteString:","index --","","METHOD","ComboBox","Controls.htm#9"
"Clear:","--","","METHOD","ComboBox","Controls.htm#10"
"Find:","lpszString -- index","","METHOD","ComboBox","Controls.htm#11"
"FindExact:","lpszString -- index","","METHOD","ComboBox","Controls.htm#12"
"GetCount:","-- n","","METHOD","ComboBox","Controls.htm#13"
"SelectString:","lpszString -- index","","METHOD","ComboBox","Controls.htm#14"
"GetStringAt:","index -- a n","","METHOD","ComboBox","Controls.htm#15"
"GetCurrent:","-- index","","METHOD","ComboBox","Controls.htm#16"
"Enable:","f --","","METHOD","ComboBox","Controls.htm#17"
"Disable:","--","","METHOD","ComboBox","Controls.htm#18"
"ComboListBox","","","CLASS","","Controls.htm#20"
"WindowStyle:","-- style","","METHOD","ComboListBox","Controls.htm#21"
"Start:","Parent --","","METHOD","ComboListBox","Controls.htm#22"
"ListBox","","","CLASS","","Controls.htm#24"
"SetDir:","dirz$ attrib --","","METHOD","ListBox","Controls.htm#25"
"Clear:","--","","METHOD","ListBox","Controls.htm#26"
"AddStringTo:","z""string"" --","","METHOD","ListBox","Controls.htm#27"
"SetSelection:","n --","","METHOD","ListBox","Controls.htm#28"
"GetSelection:","-- n","","METHOD","ListBox","Controls.htm#29"
"GetString:","index -- addr n","","METHOD","ListBox","Controls.htm#30"
"GetSelectedString:","-- addr cnt","","METHOD","ListBox","Controls.htm#31"
"GetCount:","-- n","","METHOD","ListBox","Controls.htm#32"
"Setfont:","handle --","","METHOD","ListBox","Controls.htm#33"
"AddString:","lpszString --","","METHOD","ListBox","Controls.htm#34"
"InsertString:","lpszString index --","","METHOD","ListBox","Controls.htm#35"
"DeleteString:","index --","","METHOD","ListBox","Controls.htm#36"
"Find:","lpszString -- index","","METHOD","ListBox","Controls.htm#37"
"FindExact:","lpszString -- index","","METHOD","ListBox","Controls.htm#38"
"GetCurrent:","-- index","","METHOD","ListBox","Controls.htm#39"
"SelectString:","lpszString -- index","","METHOD","ListBox","Controls.htm#40"
"GetState:","index -- f","","METHOD","ListBox","Controls.htm#41"
"Enable:","f --","","METHOD","ListBox","Controls.htm#42"
"Disable:","--","","METHOD","ListBox","Controls.htm#43"
"SetTabStops:","addr cnt --","","METHOD","ListBox","Controls.htm#44"
"MultiListbox","","","CLASS","","Controls.htm#46"
"WindowStyle:","-- style","","METHOD","MultiListbox","Controls.htm#47"
"Select:","index --","","METHOD","MultiListbox","Controls.htm#48"
"Unselect:","index --","","METHOD","MultiListbox","Controls.htm#49"
"GetSelCount:","-- n","","METHOD","MultiListbox","Controls.htm#50"
"GetSelectedItems:","array cnt -- count","","METHOD","MultiListbox","Controls.htm#51"
"MultiExListbox","","","CLASS","","Controls.htm#53"
"WindowStyle:","-- style","","METHOD","MultiExListbox","Controls.htm#54"
"DragListbox","","","CLASS","","Controls.htm#56"
"WindowStyle:","-- style","","METHOD","DragListbox","Controls.htm#57"
"Start:","Parent --","","METHOD","DragListbox","Controls.htm#58"
"UpDownControl","","","CLASS","","Controls.htm#0"
"WindowStyle:","-- style","","METHOD","UpDownControl","Controls.htm#1"
"Start:","Parent --","","METHOD","UpDownControl","Controls.htm#2"
"StartSize:","-- cx cy","","METHOD","UpDownControl","Controls.htm#3"
"StartPos:","-- x y","","METHOD","UpDownControl","Controls.htm#4"
"SetBuddy:","hBuddy --","","METHOD","UpDownControl","Controls.htm#5"
"GetValue:","-- n","","METHOD","UpDownControl","Controls.htm#6"
"SetValue:","n --","","METHOD","UpDownControl","Controls.htm#7"
"SetDecimal:","--","","METHOD","UpDownControl","Controls.htm#8"
"SetHex:","--","","METHOD","UpDownControl","Controls.htm#9"
"GetBase:","-- n","","METHOD","UpDownControl","Controls.htm#10"
"SetRange:","lower upper --","","METHOD","UpDownControl","Controls.htm#11"
"GetRange:","-- lower upper","","METHOD","UpDownControl","Controls.htm#12"
"Enable:","f --","","METHOD","UpDownControl","Controls.htm#13"
"Disable:","--","","METHOD","UpDownControl","Controls.htm#14"
"SpinnerControl","","","CLASS","","Controls.htm#16"
"start:","parent --","","METHOD","SpinnerControl","Controls.htm#17"
"TheBox:","-- spinbox","","METHOD","SpinnerControl","Controls.htm#18"
"Move:","x y w h --","","METHOD","SpinnerControl","Controls.htm#19"
"Select:","--","","METHOD","SpinnerControl","Controls.htm#20"
"SetFont:","hndl --","","METHOD","SpinnerControl","Controls.htm#21"
"Close:","--","","METHOD","SpinnerControl","Controls.htm#22"
"CheckBox","","","CLASS","","Controls.htm#0"
"IsButtonChecked?:","-- f","","METHOD","CheckBox","Controls.htm#1"
"Enable:","f --","","METHOD","CheckBox","Controls.htm#2"
"Disable:","--","","METHOD","CheckBox","Controls.htm#3"
"Setfont:","handle --","","METHOD","CheckBox","Controls.htm#4"
"RadioButton","","","CLASS","","Controls.htm#6"
"IsButtonChecked?:","-- f","","METHOD","RadioButton","Controls.htm#7"
"CheckButton:","--","","METHOD","RadioButton","Controls.htm#8"
"UnCheckButton:","--","","METHOD","RadioButton","Controls.htm#9"
"Check:","f --","","METHOD","RadioButton","Controls.htm#10"
"Enable:","f --","","METHOD","RadioButton","Controls.htm#11"
"Disable:","--","","METHOD","RadioButton","Controls.htm#12"
"Setfont:","handle --","","METHOD","RadioButton","Controls.htm#13"
"GroupRadioButton","","","CLASS","","Controls.htm#15"
"WindowStyle:","-- style","","METHOD","GroupRadioButton","Controls.htm#16"
"PushButton","","","CLASS","","Controls.htm#18"
"Setfont:","handle --","","METHOD","PushButton","Controls.htm#19"
"Enable:","f --","","METHOD","PushButton","Controls.htm#20"
"Disable:","--","","METHOD","PushButton","Controls.htm#21"
"DefPushButton","","","CLASS","","Controls.htm#23"
"WindowStyle:","-- style","","METHOD","DefPushButton","Controls.htm#24"
"BitmapButton","","","CLASS","","Controls.htm#26"
"ClassInit:","--","","METHOD","BitmapButton","Controls.htm#27"
"WindowStyle:","-- style","","METHOD","BitmapButton","Controls.htm#28"
"IconButton","","","CLASS","","Controls.htm#30"
"ClassInit:","--","","METHOD","IconButton","Controls.htm#31"
"WindowStyle:","-- style","","METHOD","IconButton","Controls.htm#32"
"SetIcon:","hIcon --","","METHOD","IconButton","Controls.htm#33"
"GetIcon:","-- hIcon","","METHOD","IconButton","Controls.htm#34"
"GroupBox","","","CLASS","","Controls.htm#36"
"Setfont:","handle --","","METHOD","GroupBox","Controls.htm#37"
"Enable:","f --","","METHOD","GroupBox","Controls.htm#38"
"Disable:","--","","METHOD","GroupBox","Controls.htm#39"
"Label","","","CLASS","","Controls.htm#0"
"Setfont:","handle --","","METHOD","Label","Controls.htm#1"
"StaticImage","","","|CLASS","","Controls.htm#3"
"ImageType:","-- ImageType","","METHOD","StaticImage","Controls.htm#4"
"GetImage:","-- hImage","","METHOD","StaticImage","Controls.htm#5"
"SetImage:","hImage --","","METHOD","StaticImage","Controls.htm#6"
"SetFont:","fhndl --","","METHOD","StaticImage","Controls.htm#7"
"StaticBitmap","","","CLASS","","Controls.htm#9"
"WindowStyle:","-- style","","METHOD","StaticBitmap","Controls.htm#10"
"StaticIcon","","","CLASS","","Controls.htm#12"
"WindowStyle:","-- style","","METHOD","StaticIcon","Controls.htm#13"
"ImageType:","-- ImageType","","METHOD","StaticIcon","Controls.htm#14"
"StaticMetafile","","","CLASS","","Controls.htm#16"
"WindowStyle:","-- style","","METHOD","StaticMetafile","Controls.htm#17"
"ImageType:","-- ImageType","","METHOD","StaticMetafile","Controls.htm#18"
"StaticFrame","","","CLASS","","Controls.htm#20"
"BlackRect:","--","","METHOD","StaticFrame","Controls.htm#21"
"GrayRect:","--","","METHOD","StaticFrame","Controls.htm#22"
"WhiteRect:","--","","METHOD","StaticFrame","Controls.htm#23"
"BlackFrame:","--","","METHOD","StaticFrame","Controls.htm#24"
"GrayFrame:","--","","METHOD","StaticFrame","Controls.htm#25"
"WhiteFrame:","--","","METHOD","StaticFrame","Controls.htm#26"
"EtchedFrame:","--","","METHOD","StaticFrame","Controls.htm#27"
"SunkenFrame:","--","","METHOD","StaticFrame","Controls.htm#28"
"Progressbar","","","CLASS","","Controls.htm#0"
"Start:","Parent --","","METHOD","Progressbar","Controls.htm#1"
"+Value:","n --","","METHOD","Progressbar","Controls.htm#2"
"GetValue:","-- n","","METHOD","Progressbar","Controls.htm#3"
"SetValue:","n --","","METHOD","Progressbar","Controls.htm#4"
"SetRange:","min max --","","METHOD","Progressbar","Controls.htm#5"
"SetStep:","n --","","METHOD","Progressbar","Controls.htm#6"
"GetStep:","-- n","","METHOD","Progressbar","Controls.htm#7"
"StepIt:","--","","METHOD","Progressbar","Controls.htm#8"
