"Name","Stack","Comment","Type","Class","File"
"SmoothProgressbar","","","CLASS","","Controls.htm#10"
"WindowStyle:","-- style","","METHOD","SmoothProgressbar","Controls.htm#11"
"Trackbar","","","CLASS","","Controls.htm#0"
"Start:","Parent --","","METHOD","Trackbar","Controls.htm#1"
"GetLineSize:","-- n","","METHOD","Trackbar","Controls.htm#2"
"SetLineSize:","n --","","METHOD","Trackbar","Controls.htm#3"
"GetPageSize:","-- n","","METHOD","Trackbar","Controls.htm#4"
"SetPageSize:","n --","","METHOD","Trackbar","Controls.htm#5"
"GetValue:","-- n","","METHOD","Trackbar","Controls.htm#6"
"SetValue:","n --","","METHOD","Trackbar","Controls.htm#7"
"GetRangeMax:","-- n","","METHOD","Trackbar","Controls.htm#8"
"SetRangeMax:","max f --","","METHOD","Trackbar","Controls.htm#9"
"GetRangeMin:","-- n","","METHOD","Trackbar","Controls.htm#10"
"SetRangeMin:","min f --","","METHOD","Trackbar","Controls.htm#11"
"GetSelEnd:","-- n","","METHOD","Trackbar","Controls.htm#12"
"SetSelEnd:","end f --","","METHOD","Trackbar","Controls.htm#13"
"GetSelStart:","-- n","","METHOD","Trackbar","Controls.htm#14"
"SetSelStart:","start f --","","METHOD","Trackbar","Controls.htm#15"
"GetThumbLength:","-- n","","METHOD","Trackbar","Controls.htm#16"
"SetThumbLength:","n --","","METHOD","Trackbar","Controls.htm#17"
"GetChannelRect:","lpRect --","","METHOD","Trackbar","Controls.htm#18"
"GetThumbRect:","lpRect --","","METHOD","Trackbar","Controls.htm#19"
"GetTick:","iTic -- n","","METHOD","Trackbar","Controls.htm#20"
"SetTick:","pos --","","METHOD","Trackbar","Controls.htm#21"
"ClearTicks:","f --","","METHOD","Trackbar","Controls.htm#22"
"GetTickPos:","iTic -- n","","METHOD","Trackbar","Controls.htm#23"
"GetTicksPtr:","-- pointer","","METHOD","Trackbar","Controls.htm#24"
"SetTickFreq:","pos freq --","","METHOD","Trackbar","Controls.htm#25"
"GetNumTicks:","-- n","","METHOD","Trackbar","Controls.htm#26"
"SetRange:","min max f --","","METHOD","Trackbar","Controls.htm#27"
"SetSel:","min max f --","","METHOD","Trackbar","Controls.htm#28"
"ClearSel:","f --","","METHOD","Trackbar","Controls.htm#29"
"Enable:","f --","","METHOD","Trackbar","Controls.htm#30"
"Disable:","--","","METHOD","Trackbar","Controls.htm#31"
"VTrackBar","","","CLASS","","Controls.htm#33"
"WindowStyle:","-- style","","METHOD","VTrackBar","Controls.htm#34"
"ScrollBar","","","|CLASS","","Controls.htm#0"
"ClassInit:","--","","METHOD","ScrollBar","Controls.htm#1"
"Start:","Parent --","","METHOD","ScrollBar","Controls.htm#2"
"SetFont:","hndl --","","METHOD","ScrollBar","Controls.htm#3"
"Enable:","f --","","METHOD","ScrollBar","Controls.htm#4"
"Disable:","--","","METHOD","ScrollBar","Controls.htm#5"
"HorizScroll","","","CLASS","","Controls.htm#6"
"WindowStyle:","-- style","","METHOD","HorizScroll","Controls.htm#7"
"VertScroll","","","CLASS","","Controls.htm#9"
"WindowStyle:","-- style","","METHOD","VertScroll","Controls.htm#10"
"SizeBox","","","CLASS","","Controls.htm#12"
"WindowStyle:","-- style","","METHOD","SizeBox","Controls.htm#13"
"MonthCalendar","","","CLASS","","Controls.htm#0"
"Start:","Parent --","","METHOD","MonthCalendar","Controls.htm#1"
"MinSize:","-- x y","","METHOD","MonthCalendar","Controls.htm#2"
"GetDate:","-- day month year","","METHOD","MonthCalendar","Controls.htm#3"
"GetToday:","-- day month year","","METHOD","MonthCalendar","Controls.htm#4"
"DateTimePicker","","","CLASS","","Controls.htm#6"
"Start:","Parent --","","METHOD","DateTimePicker","Controls.htm#7"
"SetCustomFormat:","z""format""  --","","METHOD","DateTimePicker","Controls.htm#8"
"GetTime:","-- hrs min secs","","METHOD","DateTimePicker","Controls.htm#9"
"SetTime:","hr min sec --","","METHOD","DateTimePicker","Controls.htm#10"
"GetDate:","-- day month year","","METHOD","DateTimePicker","Controls.htm#11"
"TabControl","","","CLASS","","Controls.htm#0"
"tc_Item","","","RECORD:","TabControl","Controls.htm#1"
"IsMask:","n --","","METHOD","TabControl","Controls.htm#2"
"Mask:","-- n","","METHOD","TabControl","Controls.htm#3"
"IsPszText:","addr --","","METHOD","TabControl","Controls.htm#4"
"PszText:","-- n","","METHOD","TabControl","Controls.htm#5"
"IscchTextMax:","n --","","METHOD","TabControl","Controls.htm#6"
"cchTextMax:","-- n","","METHOD","TabControl","Controls.htm#7"
"IsiImage:","n --","","METHOD","TabControl","Controls.htm#8"
"iImage:","-- n","","METHOD","TabControl","Controls.htm#9"
"IsLparam:","n --","","METHOD","TabControl","Controls.htm#10"
"LParam:","-- n","","METHOD","TabControl","Controls.htm#11"
"WindowStyle:","-- style","","METHOD","TabControl","Controls.htm#12"
"AddStyle:","n --","","METHOD","TabControl","Controls.htm#13"
"TC_Item:","-- addr","","METHOD","TabControl","Controls.htm#14"
"InsertTab:","index --","","METHOD","TabControl","Controls.htm#15"
"GetTabInfo:","index --","","METHOD","TabControl","Controls.htm#16"
"SetTabInfo:","index --","","METHOD","TabControl","Controls.htm#17"
"GetTabCount:","-- n","","METHOD","TabControl","Controls.htm#18"
"DeleteTab:","index --","","METHOD","TabControl","Controls.htm#19"
"DeleteAllTabs:","--","","METHOD","TabControl","Controls.htm#20"
"AdjustRect:","rect flag --","","METHOD","TabControl","Controls.htm#21"
"ClientSize:","-- l t r b","","METHOD","TabControl","Controls.htm#22"
"WindowSize:","l t r t -- l t r b","","METHOD","TabControl","Controls.htm#23"
"GetSelectedTab:","-- index","","METHOD","TabControl","Controls.htm#24"
"SetSelectedTab:","index --","","METHOD","TabControl","Controls.htm#25"
"GetRowCount:","-- n","","METHOD","TabControl","Controls.htm#26"
"Enable:","f --","","METHOD","TabControl","Controls.htm#27"
"Disable:","--","","METHOD","TabControl","Controls.htm#28"
"Setfont:","handle --","","METHOD","TabControl","Controls.htm#29"
"WindowTitle:","-- null$","","METHOD","TabControl","Controls.htm#30"
"Handle_Notify:","w l \ ncode tabid -- f","","METHOD","TabControl","Controls.htm#31"
"On_SelChanged:","l -- f","","METHOD","TabControl","Controls.htm#32"
"On_SelChanging:","l -- f","","METHOD","TabControl","Controls.htm#33"
"IsChangeFunc:","cfa --","","METHOD","TabControl","Controls.htm#34"
"IsChangingFunc:","cfa --","","METHOD","TabControl","Controls.htm#35"
"default-func","lParam obj -- false","","COLON","TabControl","Controls.htm#36"
"ClassInit:","--","","METHOD","TabControl","Controls.htm#37"
"Start:","Parent --","","METHOD","TabControl","Controls.htm#38"
"MultiLineTabControl","","","CLASS","","Controls.htm#40"
"VertButtonBar","","","CLASS","","Controls.htm#0"
"SetFont:","fonthndl \ hb1 --","","METHOD","VertButtonBar","Controls.htm#1"
"Enable:","flag \ hb1 --","","METHOD","VertButtonBar","Controls.htm#2"
"Disable:","--","","METHOD","VertButtonBar","Controls.htm#3"
"HorizButtonBar","","","CLASS","","Controls.htm#5"
"SetFont:","fonthndl \ hb1 --","","METHOD","HorizButtonBar","Controls.htm#6"
"Enable:","flag \ hb1 --","","METHOD","HorizButtonBar","Controls.htm#7"
"Disable:","--","","METHOD","HorizButtonBar","Controls.htm#8"
"MdiDialogWindow","","","CLASS","","MdiDialog.htm#0"
"ClassInit:","--","","METHOD","MdiDialogWindow","MdiDialog.htm#1"
"~:","--","","METHOD","MdiDialogWindow","MdiDialog.htm#2"
"AXControl","","","CLASS","","AXControl.htm#0"
"AXUCreate:","ustr --","","METHOD","AXControl","AXControl.htm#1"
"AXCreate:","str len --","","METHOD","AXControl","AXControl.htm#2"
"QueryInterface:","ppv riid -- flag","","METHOD","AXControl","AXControl.htm#3"
"HTMLControl","","","CLASS","","HTMLcontrol.htm#0"
"Start:","Parent --","","METHOD","HTMLControl","HTMLcontrol.htm#1"
"GetLocationURL:","-- str len","","METHOD","HTMLControl","HTMLcontrol.htm#2"
"GetLocationName:","-- str len","","METHOD","HTMLControl","HTMLcontrol.htm#3"
"GetType:","-- str len","","METHOD","HTMLControl","HTMLcontrol.htm#4"
"Busy?:","-- flag","","METHOD","HTMLControl","HTMLcontrol.htm#5"
"Offline?:","-- flag","","METHOD","HTMLControl","HTMLcontrol.htm#6"
"GoURL:","str len --","","METHOD","HTMLControl","HTMLcontrol.htm#7"
"SetURL:","zUrl --","","METHOD","HTMLControl","HTMLcontrol.htm#8"
"GoHome:","--","","METHOD","HTMLControl","HTMLcontrol.htm#9"
"GoSearch:","--","","METHOD","HTMLControl","HTMLcontrol.htm#10"
"GoForward:","--","","METHOD","HTMLControl","HTMLcontrol.htm#11"
"GoBack:","--","","METHOD","HTMLControl","HTMLcontrol.htm#12"
"Refresh:","--","","METHOD","HTMLControl","HTMLcontrol.htm#13"
"Stop:","--","","METHOD","HTMLControl","HTMLcontrol.htm#14"
"MDIClientWindow","","","CLASS","","mdi.htm#0"
"Start:","hWindowMenu Parent --","","METHOD","MDIClientWindow","mdi.htm#1"
"CreateStruct:","-- CreateStrucPointer","","METHOD","MDIClientWindow","mdi.htm#2"
"MDIFrameWindow","","","CLASS","","mdi.htm#4"
"WindowMenuNo:","-- n","","METHOD","MDIFrameWindow","mdi.htm#5"
"WindowTitle:","-- z""","","METHOD","MDIFrameWindow","mdi.htm#6"
"SetRedraw:","f --","","METHOD","MDIFrameWindow","mdi.htm#7"
"Tile:","f --","","METHOD","MDIFrameWindow","mdi.htm#8"
"Arrange:","--","","METHOD","MDIFrameWindow","mdi.htm#9"
"Cascade:","--","","METHOD","MDIFrameWindow","mdi.htm#10"
"RefreshMenu:","--","","METHOD","MDIFrameWindow","mdi.htm#11"
"MDISetMenu:","hmenuWindow hmenuFrame --","","METHOD","MDIFrameWindow","mdi.htm#12"
"DrawMenuBar:","--","","METHOD","MDIFrameWindow","mdi.htm#13"
"Restore:","hWnd --","","METHOD","MDIFrameWindow","mdi.htm#14"
"Maximize:","hWnd --","","METHOD","MDIFrameWindow","mdi.htm#15"
"GetActive:","-- Maximized handle","","METHOD","MDIFrameWindow","mdi.htm#16"
"Activate:","hWnd --","","METHOD","MDIFrameWindow","mdi.htm#17"
"Next:","f hWnd --","","METHOD","MDIFrameWindow","mdi.htm#18"
"Destroy:","hWnd --","","METHOD","MDIFrameWindow","mdi.htm#19"
"CloseChild:","hWnd --","","METHOD","MDIFrameWindow","mdi.htm#20"
"EnumChildWindows:","lparam pCallBack -- f","","METHOD","MDIFrameWindow","mdi.htm#21"
"CloseAll:","--","","METHOD","MDIFrameWindow","mdi.htm#22"
"GetFirstChild:","-- hWndChild","","METHOD","MDIFrameWindow","mdi.htm#23"
"GetNextChild:","-- hWndChild","","METHOD","MDIFrameWindow","mdi.htm#24"
"SendMessageToAllChildren:","wParam lParam msg --","","METHOD","MDIFrameWindow","mdi.htm#25"
"PostMessageToAllChildren:","wParam lParam msg --","","METHOD","MDIFrameWindow","mdi.htm#26"
"MDIChildWindow","","","CLASS","","mdi.htm#28"
"DefaultIcon:","-- hIcon","","METHOD","MDIChildWindow","mdi.htm#29"
"ParentWindow:","-- hParent","","METHOD","MDIChildWindow","mdi.htm#30"
"Start:","Parent --","","METHOD","MDIChildWindow","mdi.htm#31"
"WindowTitle:","-- z""","","METHOD","MDIChildWindow","mdi.htm#32"
"On_QueryEnd:","-- f","","METHOD","MDIChildWindow","mdi.htm#33"
"On_Close:","-- f","","METHOD","MDIChildWindow","mdi.htm#34"
"On_ChildActivate:","--","","METHOD","MDIChildWindow","mdi.htm#35"
"On_GetMinMaxInfo:","pMinMaxInfo -- pMinMaxInfo","","METHOD","MDIChildWindow","mdi.htm#36"
"On_MenuChar:","w l -- w l","","METHOD","MDIChildWindow","mdi.htm#37"
"On_Move:","l -- l","","METHOD","MDIChildWindow","mdi.htm#38"
"On_SysCommand:","h m w l -- h m w l f","","METHOD","MDIChildWindow","mdi.htm#39"
"On_Command:","h m w l -- h m w l f","","METHOD","MDIChildWindow","mdi.htm#40"
"gdiPOINT","","","CLASS","","gdiStruct.htm#0"
"GetX:","-- x","","METHOD","gdiPOINT","gdiStruct.htm#1"
"GetY:","-- y","","METHOD","gdiPOINT","gdiStruct.htm#2"
"SetX:","x --","","METHOD","gdiPOINT","gdiStruct.htm#3"
"SetY:","y --","","METHOD","gdiPOINT","gdiStruct.htm#4"
"Addr:","-- addr","","METHOD","gdiPOINT","gdiStruct.htm#5"
"Size:","-- size","","METHOD","gdiPOINT","gdiStruct.htm#6"
"gdiCOLORREF","","","CLASS","","gdiStruct.htm#8"
"SetRValue:","r --","","METHOD","gdiCOLORREF","gdiStruct.htm#9"
"SetGValue:","g --","","METHOD","gdiCOLORREF","gdiStruct.htm#10"
"SetBValue:","b --","","METHOD","gdiCOLORREF","gdiStruct.htm#11"
"GetRValue:","-- r","","METHOD","gdiCOLORREF","gdiStruct.htm#12"
"GetGValue:","-- g","","METHOD","gdiCOLORREF","gdiStruct.htm#13"
"GetBValue:","-- b","","METHOD","gdiCOLORREF","gdiStruct.htm#14"
"SetColor:","colorref --","","METHOD","gdiCOLORREF","gdiStruct.htm#15"
"SetSysColor:","n --","","METHOD","gdiCOLORREF","gdiStruct.htm#16"
"GetColor:","-- colorref","","METHOD","gdiCOLORREF","gdiStruct.htm#17"
"SetRGB:","r g b --","","METHOD","gdiCOLORREF","gdiStruct.htm#18"
"Addr:","-- addr","","METHOD","gdiCOLORREF","gdiStruct.htm#19"
"Size:","-- size","","METHOD","gdiCOLORREF","gdiStruct.htm#20"
"Choose:","hWnd -- f","","METHOD","gdiCOLORREF","gdiStruct.htm#21"
"CustomColors:","-- addr len","","METHOD","gdiCOLORREF","gdiStruct.htm#22"
"gdiRGBQUAD","","","SYNONYM","","gdiStruct.htm#24"
"gdiSIZE","","","CLASS","","gdiStruct.htm#26"
"GetX:","-- x","","METHOD","gdiSIZE","gdiStruct.htm#27"
"GetY:","-- y","","METHOD","gdiSIZE","gdiStruct.htm#28"
"SetX:","x --","","METHOD","gdiSIZE","gdiStruct.htm#29"
"SetY:","y --","","METHOD","gdiSIZE","gdiStruct.htm#30"
"Addr:","-- addr","","METHOD","gdiSIZE","gdiStruct.htm#31"
"Size:","-- size","","METHOD","gdiSIZE","gdiStruct.htm#32"
"gdiTEXTMETRIC","","","CLASS","","gdiStruct.htm#34"
"SetHeight:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#35"
"SetAscent:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#36"
"SetDescent:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#37"
"SetInternalLeading:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#38"
"SetExternalLeading:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#39"
"SetAveCharWidth:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#40"
"SetMaxCharWidth:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#41"
"SetWeight:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#42"
"SetOverhang:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#43"
"SetDigitizedAspectX:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#44"
"SetDigitizedAspectY:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#45"
"SetFirstChar:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#46"
"SetLastChar:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#47"
"SetDefaultChar:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#48"
"SetBreakChar:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#49"
"SetItalic:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#50"
"SetUnderlined:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#51"
"SetStruckOut:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#52"
"SetPitchAndFamily:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#53"
"SetCharSet:","n --","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#54"
"GetHeight:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#55"
"GetAscent:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#56"
"GetDescent:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#57"
"GetInternalLeading:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#58"
"GetExternalLeading:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#59"
"GetAveCharWidth:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#60"
"GetMaxCharWidth:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#61"
"GetWeight:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#62"
"GetOverhang:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#63"
"GetDigitizedAspectX:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#64"
"GetDigitizedAspectY:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#65"
"GetFirstChar:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#66"
"GetLastChar:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#67"
"GetDefaultChar:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#68"
"GetBreakChar:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#69"
"GetItalic:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#70"
"GetUnderlined:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#71"
"GetStruckOut:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#72"
"GetPitchAndFamily:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#73"
"GetCharSet:","-- n","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#74"
"Addr:","-- addr","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#75"
"Size:","-- size","","METHOD","gdiTEXTMETRIC","gdiStruct.htm#76"
"gdiObject","","","CLASS","","gdiBase.htm#0"
"ZeroHandle:","--","","METHOD","gdiObject","gdiBase.htm#1"
"GetType:","-- n","","METHOD","gdiObject","gdiBase.htm#2"
"GetObject:","cbBuffer lpvObject -- n","","METHOD","gdiObject","gdiBase.htm#3"
"Destroy:","--","","METHOD","gdiObject","gdiBase.htm#4"
"GetHandle:","-- hObject","","METHOD","gdiObject","gdiBase.htm#5"
"SetHandle:","hObject --","","METHOD","gdiObject","gdiBase.htm#6"
"Valid?:","-- f","","METHOD","gdiObject","gdiBase.htm#7"
"?IsGdiObject","a1 -- f","w32f","COLON","","gdiBase.htm#9"
"GetGdiObjectHandle","GdiObject -- handle","w32f","COLON","","gdiBase.htm#10"
".gdi-objects","--","w32f sys","COLON","","gdiBase.htm#11"
"(?GdiCheck)","a1 -- a1","w32f sys internal","COLON","","gdiBase.htm#12"
"?GdiCheck","a1 -- a1","w32f","COLON","","gdiBase.htm#13"
"gdiPen","","","CLASS","","gdiPen.htm#0"
"ClassInit:","--","","METHOD","gdiPen","gdiPen.htm#1"
"SetStyle:","style --","","METHOD","gdiPen","gdiPen.htm#2"
"SetWidth:","width --","","METHOD","gdiPen","gdiPen.htm#3"
"SetRValue:","r --","","METHOD","gdiPen","gdiPen.htm#4"
"SetGValue:","g --","","METHOD","gdiPen","gdiPen.htm#5"
"SetBValue:","b --","","METHOD","gdiPen","gdiPen.htm#6"
"SetRGB:","r g b --","","METHOD","gdiPen","gdiPen.htm#7"
"SetColor:","colorref --","","METHOD","gdiPen","gdiPen.htm#8"
"SetSysColor:","n --","","METHOD","gdiPen","gdiPen.htm#9"
"ChooseColor:","hWnd -- f","","METHOD","gdiPen","gdiPen.htm#10"
"GetStyle:","-- style","","METHOD","gdiPen","gdiPen.htm#11"
"GetWidth:","-- width","","METHOD","gdiPen","gdiPen.htm#12"
"GetRValue:","-- r","","METHOD","gdiPen","gdiPen.htm#13"
"GetGValue:","-- g","","METHOD","gdiPen","gdiPen.htm#14"
"GetBValue:","-- b","","METHOD","gdiPen","gdiPen.htm#15"
"GetColor:","-- colorref","","METHOD","gdiPen","gdiPen.htm#16"
"Create:","-- f","","METHOD","gdiPen","gdiPen.htm#17"
"CreateIndirect:","pLogpen -- f","","METHOD","gdiPen","gdiPen.htm#18"
"gdiGeometricPen","","","CLASS","","gdiPen.htm#20"
"ClassInit:","--","","METHOD","gdiGeometricPen","gdiPen.htm#21"
"gdiBrush","","","CLASS","","gdiBrush.htm#0"
"SetOrigin:","xOrg yOrg hdc --","","METHOD","gdiBrush","gdiBrush.htm#1"
"GetOrigin:","hdc -- xOrg yOrg","","METHOD","gdiBrush","gdiBrush.htm#2"
"Create:","lplb -- f","","METHOD","gdiBrush","gdiBrush.htm#3"
"gdiSolidBrush","","","CLASS","","gdiBrush.htm#5"
"SetRValue:","r --","","METHOD","gdiSolidBrush","gdiBrush.htm#6"
"SetGValue:","g --","","METHOD","gdiSolidBrush","gdiBrush.htm#7"
"SetBValue:","b --","","METHOD","gdiSolidBrush","gdiBrush.htm#8"
"SetRGB:","r g b --","","METHOD","gdiSolidBrush","gdiBrush.htm#9"
"SetColor:","colorref --","","METHOD","gdiSolidBrush","gdiBrush.htm#10"
"SetSysColor:","n --","","METHOD","gdiSolidBrush","gdiBrush.htm#11"
"ChooseColor:","hWnd -- f","","METHOD","gdiSolidBrush","gdiBrush.htm#12"
"GetRValue:","-- r","","METHOD","gdiSolidBrush","gdiBrush.htm#13"
"GetGValue:","-- g","","METHOD","gdiSolidBrush","gdiBrush.htm#14"
"GetBValue:","-- b","","METHOD","gdiSolidBrush","gdiBrush.htm#15"
"GetColor:","-- colorref","","METHOD","gdiSolidBrush","gdiBrush.htm#16"
"Create:","-- f","","METHOD","gdiSolidBrush","gdiBrush.htm#17"
"gdiHatchBrush","","","CLASS","","gdiBrush.htm#19"
"SetStyle:","style --","","METHOD","gdiHatchBrush","gdiBrush.htm#20"
"GetStyle:","-- style","","METHOD","gdiHatchBrush","gdiBrush.htm#21"
"Create:","-- f","","METHOD","gdiHatchBrush","gdiBrush.htm#22"
"gdiPatternBrush","","","CLASS","","gdiBrush.htm#24"
"SetBitmap:","Bitmap --","","METHOD","gdiPatternBrush","gdiBrush.htm#25"
"GetBitmap:","-- Bitmap","","METHOD","gdiPatternBrush","gdiBrush.htm#26"
"Create:","-- f","","METHOD","gdiPatternBrush","gdiBrush.htm#27"
"gdiDIBPatternBrush","","","CLASS","","gdiBrush.htm#29"
"Create:","lpPackedDIB iUsage -- f","","METHOD","gdiDIBPatternBrush","gdiBrush.htm#30"
"gdiBitmap","","","CLASS","","gdiBitmap.htm#0"
"CreateBitmap:","Width Height Planes BitsPerPel pBits -- f","","METHOD","gdiBitmap","gdiBitmap.htm#1"
"CreateBitmapIndirect:","pBitmap -- f","","METHOD","gdiBitmap","gdiBitmap.htm#2"
"CreateCompatibleBitmap:","Width Height hDC -- f","","METHOD","gdiBitmap","gdiBitmap.htm#3"
"CreateDIBitmap:","pbmih fdwInit pbInit pbmi fuUsage hdc -- f","","METHOD","gdiBitmap","gdiBitmap.htm#4"
"CreateDIBSection:","pbmi iUsage ppvBits hSection dwOffset hdc -- f","","METHOD","gdiBitmap","gdiBitmap.htm#5"
"SetBitmapDimension:","width height -- oldwidth oldheight","","METHOD","gdiBitmap","gdiBitmap.htm#6"
"GetBitmapDimension:","-- width height","","METHOD","gdiBitmap","gdiBitmap.htm#7"
"SetDIBits:","","","METHOD","gdiBitmap","gdiBitmap.htm#8"
"GetDIBits:","","","METHOD","gdiBitmap","gdiBitmap.htm#9"
"LoadBitmap:","","","METHOD","gdiBitmap","gdiBitmap.htm#10"
"MaskBlt:","","","METHOD","gdiBitmap","gdiBitmap.htm#11"
"PlgBlt:","","","METHOD","gdiBitmap","gdiBitmap.htm#12"
"gdiFont","","","CLASS","","gdiFont.htm#0"
"SetHeight:","n1 --","","METHOD","gdiFont","gdiFont.htm#1"
"SetWidth:","n1 --","","METHOD","gdiFont","gdiFont.htm#2"
"SetEscapement:","n1 --","","METHOD","gdiFont","gdiFont.htm#3"
"SetOrientation:","n1 --","","METHOD","gdiFont","gdiFont.htm#4"
"SetWeight:","n1 --","","METHOD","gdiFont","gdiFont.htm#5"
"SetItalic:","f1 --","","METHOD","gdiFont","gdiFont.htm#6"
"SetUnderline:","f1 --","","METHOD","gdiFont","gdiFont.htm#7"
"SetStrikeOut:","f1 --","","METHOD","gdiFont","gdiFont.htm#8"
"SetCharSet:","n1 --","","METHOD","gdiFont","gdiFont.htm#9"
"SetOutPrecision:","n1 --","","METHOD","gdiFont","gdiFont.htm#10"
"SetClipPrecision:","n1 --","","METHOD","gdiFont","gdiFont.htm#11"
"SetQuality:","n1 --","","METHOD","gdiFont","gdiFont.htm#12"
"SetPitchAndFamily:","n1 --","","METHOD","gdiFont","gdiFont.htm#13"
"SetFaceName:","a1 n1 --","","METHOD","gdiFont","gdiFont.htm#14"
"GetHeight:","-- n1","","METHOD","gdiFont","gdiFont.htm#15"
"GetWidth:","-- n1","","METHOD","gdiFont","gdiFont.htm#16"
"GetEscapement:","-- n1","","METHOD","gdiFont","gdiFont.htm#17"
"GetOrientation:","-- n1","","METHOD","gdiFont","gdiFont.htm#18"
"GetWeight:","-- n1","","METHOD","gdiFont","gdiFont.htm#19"
"GetItalic:","-- f1","","METHOD","gdiFont","gdiFont.htm#20"
"GetUnderline:","-- f1","","METHOD","gdiFont","gdiFont.htm#21"
"GetStrikeOut:","-- f1","","METHOD","gdiFont","gdiFont.htm#22"
"GetCharSet:","-- n1","","METHOD","gdiFont","gdiFont.htm#23"
"GetOutPrecision:","-- n1","","METHOD","gdiFont","gdiFont.htm#24"
"GetClipPrecision:","-- n1","","METHOD","gdiFont","gdiFont.htm#25"
"GetQuality:","-- n1","","METHOD","gdiFont","gdiFont.htm#26"
"GetPitchAndFamily:","-- n1","","METHOD","gdiFont","gdiFont.htm#27"
"GetFaceName:","-- a1 n1","","METHOD","gdiFont","gdiFont.htm#28"
"GetLogfont:","-- n1","","METHOD","gdiFont","gdiFont.htm#29"
"Create:","-- f","","METHOD","gdiFont","gdiFont.htm#30"
"Choose:","hWnd -- f","","METHOD","gdiFont","gdiFont.htm#31"
"ChoosePrinter:","hWnd hDC -- f","","METHOD","gdiFont","gdiFont.htm#32"
"gdiMetafile","","","CLASS","","gdiMetafile.htm#0"
"Destroy:","--","","METHOD","gdiMetafile","gdiMetafile.htm#1"
"SetHandle:","hMF --","","METHOD","gdiMetafile","gdiMetafile.htm#2"
"Copy:","-- hCopy","","METHOD","gdiMetafile","gdiMetafile.htm#3"
"Load:","addr len -- f","","METHOD","gdiMetafile","gdiMetafile.htm#4"
"Save:","addr len -- f","","METHOD","gdiMetafile","gdiMetafile.htm#5"
"PlayInRect:","left top right bottom hDestDC --","","METHOD","gdiMetafile","gdiMetafile.htm#6"
"CopyToClipboard:","--","","METHOD","gdiMetafile","gdiMetafile.htm#7"
"GetFromClipboard:","--","","METHOD","gdiMetafile","gdiMetafile.htm#8"
"GetFileHeader:","pemh size -- n","","METHOD","gdiMetafile","gdiMetafile.htm#9"
"GetPaletteEntries:","cEntries lppe -- n","","METHOD","gdiMetafile","gdiMetafile.htm#10"
"gdiDC","","","CLASS","","gdiDC.htm#0"
"SelectObject:","hGdiObject -- hOldObject","","METHOD","gdiDC","gdiDC.htm#1"
"GetCurrentObject:","ObjectType -- hObject","","METHOD","gdiDC","gdiDC.htm#2"
"GetStockObject:","nObject -- hObject","","METHOD","gdiDC","gdiDC.htm#3"
"SelectStockObject:","nObject -- hOldObject","","METHOD","gdiDC","gdiDC.htm#4"
